StockKeyLabel,EcoRegion,SpeciesCommonName,ExpertGroup,DataCategory,YearOfLastAssessment,AdviceCategory,AssessmentKey,icon,doi,FO_doi,group_url,SAG_url,visa_url
whg.27.47d,Greater North Sea Ecoregion,Whiting,WGNSSK,1,2020,MSY,13525,<img src='whg-7e-k_pic.png' height=40>,<a href='https://doi.org/10.17895/ices.advice.5935' target='_blank'><img src= 'pdf-file.png' height= '30px'/></a>,<a href='https://doi.org/10.17895/ices.advice.7605' target='_blank'><img src= 'seafood.png' height= '30px'/></a>,<a href='https://www.ices.dk/community/groups/Pages/WGNSSK.aspx' target='_blank'>WGNSSK</a>,<a href='https://standardgraphs.ices.dk/ViewCharts.aspx?key=13525' target='_blank'><img src= 'database.png' height= '30px'/></a>,<a href='https://gis.ices.dk/sf/index.html?widget=visa&assessmentKey=13525' target='_blank'><img src= 'map.png' height= '30px'/></a>
cod.27.47d20,Greater North Sea Ecoregion,Cod,WGNSSK,1,2020,MSY,13740,<img src='cod-7e-k_pic.png' height=40>,<a href='https://doi.org/10.17895/ices.advice.5891' target='_blank'><img src= 'pdf-file.png' height= '30px'/></a>,<a href='https://doi.org/10.17895/ices.advice.7605' target='_blank'><img src= 'seafood.png' height= '30px'/></a>,<a href='https://www.ices.dk/community/groups/Pages/WGNSSK.aspx' target='_blank'>WGNSSK</a>,<a href='https://standardgraphs.ices.dk/ViewCharts.aspx?key=13740' target='_blank'><img src= 'database.png' height= '30px'/></a>,<a href='https://gis.ices.dk/sf/index.html?widget=visa&assessmentKey=13740' target='_blank'><img src= 'map.png' height= '30px'/></a>
ple.27.7d,Greater North Sea Ecoregion,Plaice,WGNSSK,1,2020,MSY,13744,<img src='ple-7b-c_pic.png' height=40>,<a href='https://doi.org/10.17895/ices.advice.5873' target='_blank'><img src= 'pdf-file.png' height= '30px'/></a>,<a href='https://doi.org/10.17895/ices.advice.7605' target='_blank'><img src= 'seafood.png' height= '30px'/></a>,<a href='https://www.ices.dk/community/groups/Pages/WGNSSK.aspx' target='_blank'>WGNSSK</a>,<a href='https://standardgraphs.ices.dk/ViewCharts.aspx?key=13744' target='_blank'><img src= 'database.png' height= '30px'/></a>,<a href='https://gis.ices.dk/sf/index.html?widget=visa&assessmentKey=13744' target='_blank'><img src= 'map.png' height= '30px'/></a>
sol.27.7d,Greater North Sea Ecoregion,Sole,WGNSSK,3,2020,PA,13495,<img src='sol-7b-c_pic.png' height=40>,<a href='https://doi.org/10.17895/ices.advice.5947' target='_blank'><img src= 'pdf-file.png' height= '30px'/></a>,<a href='https://doi.org/10.17895/ices.advice.7605' target='_blank'><img src= 'seafood.png' height= '30px'/></a>,<a href='https://www.ices.dk/community/groups/Pages/WGNSSK.aspx' target='_blank'>WGNSSK</a>,<a href='https://standardgraphs.ices.dk/ViewCharts.aspx?key=13495' target='_blank'><img src= 'database.png' height= '30px'/></a>,<a href='https://gis.ices.dk/sf/index.html?widget=visa&assessmentKey=13495' target='_blank'><img src= 'map.png' height= '30px'/></a>
dab.27.3a4,Greater North Sea Ecoregion,Dab,WGNSSK,3.2,2019,PA/Stock status only,NA,<img src='dab-2232_nsea.png' height=40>,<a href='https://doi.org/10.17895/ices.advice.5641' target='_blank'><img src= 'pdf-file.png' height= '30px'/></a>,<a href='https://doi.org/10.17895/ices.advice.5710' target='_blank'><img src= 'seafood.png' height= '30px'/></a>,<a href='https://www.ices.dk/community/groups/Pages/WGNSSK.aspx' target='_blank'>WGNSSK</a>,<a href='https://standardgraphs.ices.dk/ViewCharts.aspx?key=NA' target='_blank'><img src= 'database.png' height= '30px'/></a>,<a href='https://gis.ices.dk/sf/index.html?widget=visa&assessmentKey=NA' target='_blank'><img src= 'map.png' height= '30px'/></a>
fle.27.3a4,Greater North Sea Ecoregion,Flounder,WGNSSK,3.2,2019,PA/Stock status only,NA,<img src='fle-2223_pic.png' height=40>,<a href='https://doi.org/10.17895/ices.advice.4860' target='_blank'><img src= 'pdf-file.png' height= '30px'/></a>,<a href='https://doi.org/10.17895/ices.advice.5710' target='_blank'><img src= 'seafood.png' height= '30px'/></a>,<a href='https://www.ices.dk/community/groups/Pages/WGNSSK.aspx' target='_blank'>WGNSSK</a>,<a href='https://standardgraphs.ices.dk/ViewCharts.aspx?key=NA' target='_blank'><img src= 'database.png' height= '30px'/></a>,<a href='https://gis.ices.dk/sf/index.html?widget=visa&assessmentKey=NA' target='_blank'><img src= 'map.png' height= '30px'/></a>
gug.27.3a47d,Greater North Sea Ecoregion,Grey gurnard,WGNSSK,3.2,2020,No advice,13493,<img src='gug-89a_pic.png' height=40>,<a href='https://doi.org/10.17895/ices.advice.5822' target='_blank'><img src= 'pdf-file.png' height= '30px'/></a>,<a href='https://doi.org/10.17895/ices.advice.7605' target='_blank'><img src= 'seafood.png' height= '30px'/></a>,<a href='https://www.ices.dk/community/groups/Pages/WGNSSK.aspx' target='_blank'>WGNSSK</a>,<a href='https://standardgraphs.ices.dk/ViewCharts.aspx?key=13493' target='_blank'><img src= 'database.png' height= '30px'/></a>,<a href='https://gis.ices.dk/sf/index.html?widget=visa&assessmentKey=13493' target='_blank'><img src= 'map.png' height= '30px'/></a>
tur.27.3a,Greater North Sea Ecoregion,Turbot,WGNSSK,3.2,2020,PA/Stock status only,13756,<img src='tur-2232_pic.png' height=40>,<a href='https://doi.org/10.17895/ices.advice.6102' target='_blank'><img src= 'pdf-file.png' height= '30px'/></a>,<a href='https://doi.org/10.17895/ices.advice.7605' target='_blank'><img src= 'seafood.png' height= '30px'/></a>,<a href='https://www.ices.dk/community/groups/Pages/WGNSSK.aspx' target='_blank'>WGNSSK</a>,<a href='https://standardgraphs.ices.dk/ViewCharts.aspx?key=13756' target='_blank'><img src= 'database.png' height= '30px'/></a>,<a href='https://gis.ices.dk/sf/index.html?widget=visa&assessmentKey=13756' target='_blank'><img src= 'map.png' height= '30px'/></a>
lem.27.3a47d,Greater North Sea Ecoregion,Lemon sole,WGNSSK,3.2,2020,PA,13498,<img src='lem-nsea_pic.png' height=40>,<a href='https://doi.org/10.17895/ices.advice.5833' target='_blank'><img src= 'pdf-file.png' height= '30px'/></a>,<a href='https://doi.org/10.17895/ices.advice.7605' target='_blank'><img src= 'seafood.png' height= '30px'/></a>,<a href='https://www.ices.dk/community/groups/Pages/WGNSSK.aspx' target='_blank'>WGNSSK</a>,<a href='https://standardgraphs.ices.dk/ViewCharts.aspx?key=13498' target='_blank'><img src= 'database.png' height= '30px'/></a>,<a href='https://gis.ices.dk/sf/index.html?widget=visa&assessmentKey=13498' target='_blank'><img src= 'map.png' height= '30px'/></a>
mur.27.3a47d,Greater North Sea Ecoregion,Striped red mullet,WGNSSK,3.2,2019,PA,NA,<img src='mur-347d_pic.png' height=40>,<a href='https://doi.org/10.17895/ices.advice.4863' target='_blank'><img src= 'pdf-file.png' height= '30px'/></a>,<a href='https://doi.org/10.17895/ices.advice.5710' target='_blank'><img src= 'seafood.png' height= '30px'/></a>,<a href='https://www.ices.dk/community/groups/Pages/WGNSSK.aspx' target='_blank'>WGNSSK</a>,<a href='https://standardgraphs.ices.dk/ViewCharts.aspx?key=NA' target='_blank'><img src= 'database.png' height= '30px'/></a>,<a href='https://gis.ices.dk/sf/index.html?widget=visa&assessmentKey=NA' target='_blank'><img src= 'map.png' height= '30px'/></a>
bll.27.3a47de,Celtic Seas Ecoregion,Brill,WGNSSK,3.2,2020,PA,13472,<img src='bll-2232_pic.png' height=40>,<a href='https://doi.org/10.17895/ices.advice.5832' target='_blank'><img src= 'pdf-file.png' height= '30px'/></a>,<a href='https://doi.org/10.17895/ices.advice.7606' target='_blank'><img src= 'seafood.png' height= '30px'/></a>,<a href='https://www.ices.dk/community/groups/Pages/WGNSSK.aspx' target='_blank'>WGNSSK</a>,<a href='https://standardgraphs.ices.dk/ViewCharts.aspx?key=13472' target='_blank'><img src= 'database.png' height= '30px'/></a>,<a href='https://gis.ices.dk/sf/index.html?widget=visa&assessmentKey=13472' target='_blank'><img src= 'map.png' height= '30px'/></a>
bll.27.3a47de,Greater North Sea Ecoregion,Brill,WGNSSK,3.2,2020,PA,13472,<img src='bll-2232_pic.png' height=40>,<a href='https://doi.org/10.17895/ices.advice.5832' target='_blank'><img src= 'pdf-file.png' height= '30px'/></a>,<a href='https://doi.org/10.17895/ices.advice.7605' target='_blank'><img src= 'seafood.png' height= '30px'/></a>,<a href='https://www.ices.dk/community/groups/Pages/WGNSSK.aspx' target='_blank'>WGNSSK</a>,<a href='https://standardgraphs.ices.dk/ViewCharts.aspx?key=13472' target='_blank'><img src= 'database.png' height= '30px'/></a>,<a href='https://gis.ices.dk/sf/index.html?widget=visa&assessmentKey=13472' target='_blank'><img src= 'map.png' height= '30px'/></a>
whg.27.3a,Greater North Sea Ecoregion,Whiting,WGNSSK,5.2,2019,PA,13506,<img src='whg-7e-k_pic.png' height=40>,<a href='https://doi.org/10.17895/ices.advice.4877' target='_blank'><img src= 'pdf-file.png' height= '30px'/></a>,<a href='https://doi.org/10.17895/ices.advice.5710' target='_blank'><img src= 'seafood.png' height= '30px'/></a>,<a href='https://www.ices.dk/community/groups/Pages/WGNSSK.aspx' target='_blank'>WGNSSK</a>,<a href='https://standardgraphs.ices.dk/ViewCharts.aspx?key=13506' target='_blank'><img src= 'database.png' height= '30px'/></a>,<a href='https://gis.ices.dk/sf/index.html?widget=visa&assessmentKey=13506' target='_blank'><img src= 'map.png' height= '30px'/></a>
pol.27.3a4,Greater North Sea Ecoregion,Pollack,WGNSSK,5.2,2018,PA/Stock status only,NA,<img src='pol-89a_pic.png' height=40>,<a href='https://doi.org/10.17895/ices.pub.4457' target='_blank'><img src= 'pdf-file.png' height= '30px'/></a>,<a href='https://doi.org/10.17895/ices.pub.4647' target='_blank'><img src= 'seafood.png' height= '30px'/></a>,<a href='https://www.ices.dk/community/groups/Pages/WGNSSK.aspx' target='_blank'>WGNSSK</a>,<a href='https://standardgraphs.ices.dk/ViewCharts.aspx?key=NA' target='_blank'><img src= 'database.png' height= '30px'/></a>,<a href='https://gis.ices.dk/sf/index.html?widget=visa&assessmentKey=NA' target='_blank'><img src= 'map.png' height= '30px'/></a>
